scenario,T,TECH,TYPE,F,value
S0,T7527,FC,CO,electricity,1.0
S0,T7528,FC,CO,electricity,1.0
S0,T7529,FC,CO,electricity,1.0
S0,T7530,FC,CO,electricity,1.0
S0,T7531,FC,CO,electricity,1.0
S0,T7532,FC,CO,electricity,1.0
S0,T7533,FC,CO,electricity,1.0
S0,T7534,FC,CO,electricity,1.0
S0,T7535,FC,CO,electricity,1.0
S0,T7536,FC,CO,electricity,1.0
S0,T7537,FC,CO,electricity,1.0
S0,T7538,FC,CO,electricity,1.0
S0,T7539,FC,CO,electricity,1.0
S0,T7540,FC,CO,electricity,1.0
S0,T7541,FC,CO,electricity,1.0
S0,T7542,FC,CO,electricity,1.0
S0,T7543,FC,CO,electricity,1.0
S0,T7544,FC,CO,electricity,1.0
S0,T7545,FC,CO,electricity,1.0
S0,T7546,FC,CO,electricity,1.0
S0,T7547,FC,CO,electricity,1.0
S0,T7548,FC,CO,electricity,1.0
